date,open,high,low,close,volume
2026-06-25,7404.91,7419.08,7323.5,7357.49,5565760000
2026-06-26,7312.74,7392.95,7294.18,7354.02,9105600000
2026-06-29,7391.88,7444.32,7348.88,7440.43,5794570000
2026-06-30,7441.27,7508.29,7438.04,7499.36,6037540000
2026-07-01,7478.84,7521.81,7449.63,7483.23,5782730000
2026-07-02,7495.14,7540.75,7427.55,7483.24,5463520000
2026-07-06,7506.96,7551.31,7500.97,7537.43,4971110000
2026-07-07,7516.63,7536.06,7478.63,7503.85,5049590000
2026-07-08,7476.54,7488.51,7421.82,7482.71,5102020000
2026-07-09,7491.6,7546.89,7481.73,7543.64,4442950000
2026-07-10,7547.64,7579.93,7508.16,7575.39,4006370000
2026-07-13,7547.53,7565.37,7506.41,7515.34,4729990000
2026-07-14,7536.7,7557.44,7513.23,7543.59,4836950000
2026-07-15,7571.72,7581.5,7526.95,7572.4,5236550000
2026-07-16,7558.8,7570.74,7504.02,7533.77,5365300000
2026-07-17,7447.52,7498.47,7431.26,7457.69,5303290000
2026-07-20,7489.18,7513.23,7440.53,7443.28,5152910000
2026-07-21,7489.95,7515.31,7467.86,7509.2,5149030000
2026-07-22,7497.47,7525.94,7485.85,7498.96,4890390000
2026-07-23,7418.29,7450.12,7376.0,7408.3,5515210000
2026-07-24,7406.3,7460.98,7396.53,7411.98,4860620000
2026-07-27,7464.2,7480.57,7382.74,7413.18,5038290000
2026-07-28,7395.55,7452.09,7382.95,7428.78,5590890000
